feature,form,p_raw,p_react
Bvp_total_power,zdev,0.5463773318097083,0.5636246097647017
Bvp_zcr,zdev,0.08134801769332889,0.15938207093404344
Eda_approx_entropy,zdev,0.2411245661933208,0.38920910656815977
Eda_bp_higher,zdev,0.4720783438460785,0.6442444748572598
Eda_bp_higher_rel,zdev,0.2159780677402523,0.19723540756422153
Eda_dfa_alpha,zdev,0.44858183588075917,0.6534846488639232
Eda_energy,zdev,0.4720783438460785,0.9081598007287539
Eda_hjorth_activity,zdev,0.8274844261859471,0.928507554411226
Eda_hjorth_complexity,zdev,0.2626414680380549,0.07141024581414968
Eda_hjorth_mobility,zdev,0.44858183588075917,0.0872652611187732
Eda_iqr,zdev,0.5988687414364904,0.44858183588075917
Eda_kurtosis,zdev,0.07789686875457846,0.03254928721435135
Eda_mad,zdev,0.6078300836870767,0.41090411606546695
Eda_max,zdev,0.709980035901026,0.9693275504196208
Eda_mcr,zdev,0.27960565184093866,0.09485765464069118
Eda_mean,zdev,0.3546030777852138,0.8175065857803929
Eda_mean_abs,zdev,0.3546030777852138,0.8175065857803929
Eda_mean_freq,zdev,0.2064557713110844,0.3546030777852138
Eda_min,zdev,0.518809073978113,0.600132072506667
Eda_p10,zdev,0.45634096628145926,0.8175065857803929
Eda_p90,zdev,0.8274844261859471,0.918327135634172
Eda_peak_freq,zdev,0.05878172135535886,0.06559969214707187
Eda_peak_power,zdev,0.7877521902091758,0.30946492834027595
Eda_peak_rel_power,zdev,0.8075575921830023,0.6534846488639232
Eda_perm_entropy,zdev,0.61684943961518,0.6534846488639232
Eda_petrosian_fd,zdev,0.5044115197324572,0.38920910656815977
Eda_rms,zdev,0.34791725337890966,0.748553222285409
Eda_samp_entropy,zdev,0.27960565184093866,0.5549689353110807
Eda_skew,zdev,0.8475205228487539,0.959111066843434
Eda_spec_bandwidth,zdev,0.44858183588075917,0.748553222285409
Eda_spec_centroid,zdev,0.2064557713110844,0.3546030777852138
Eda_spec_entropy,zdev,0.4641733385296902,0.7291827946046396
Eda_spec_flatness,zdev,0.748553222285409,0.928507554411226
Eda_spec_spread,zdev,0.44858183588075917,0.748553222285409
Eda_std,zdev,0.8475205228487539,0.918327135634172
Eda_total_power,zdev,0.7680801663736929,0.2972828802967342
Eda_zcr,zdev,0.27960565184093866,0.09485765464069118
Resp_approx_entropy,zdev,0.33478262717562757,0.37513229986052465
