model,preprocessing,label_scheme,subject_held_out,n_val,accuracy,balanced_accuracy,macro_f1,f1_NoPain,f1_PainArm,f1_PainHand,f1_Pain
rf,global,3class,52,36,0.5,0.5,0.4230769230769231,0.7692307692307693,0.5,0.0,
rf,global,3class,53,36,0.6111111111111112,0.6111111111111112,0.607031857031857,0.6923076923076923,0.5454545454545454,0.5833333333333334,
rf,global,3class,55,36,0.3333333333333333,0.3333333333333333,0.1702127659574468,0.5106382978723404,0.0,0.0,
rf,global,3class,56,36,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.5333333333333333,0.26666666666666666,0.0,
rf,global,3class,57,36,0.5833333333333334,0.5833333333333334,0.5158553202031463,0.782608695652174,0.15384615384615385,0.6111111111111112,
rf,global,3class,58,36,0.6111111111111112,0.6111111111111112,0.6087045570916539,0.8,0.38095238095238093,0.6451612903225806,
rf,global,3class,59,36,0.5,0.5,0.451764705882353,0.8,0.23529411764705882,0.32,
rf,global,3class,60,36,0.5555555555555556,0.5555555555555556,0.5220430107526882,0.8,0.5161290322580645,0.25,
rf,global,3class,63,36,0.3333333333333333,0.3333333333333333,0.23014383989993747,0.15384615384615385,0.0,0.5365853658536586,
xgb,global,3class,1,36,0.5555555555555556,0.5555555555555555,0.4786967418546366,0.8571428571428571,0.5789473684210527,0.0,
xgb,global,3class,2,36,0.4444444444444444,0.4444444444444444,0.39153439153439146,0.6666666666666666,0.2857142857142857,0.2222222222222222,
xgb,global,3class,4,36,0.5,0.5,0.4981642512077295,0.6666666666666666,0.34782608695652173,0.48,
xgb,global,3class,5,36,0.5555555555555556,0.5555555555555555,0.5459293394777266,0.8571428571428571,0.2,0.5806451612903226,
xgb,global,3class,6,36,0.3611111111111111,0.36111111111111116,0.3317793317793318,0.15384615384615385,0.30303030303030304,0.5384615384615384,
xgb,global,3class,8,36,0.4166666666666667,0.4166666666666667,0.42585765488991295,0.7,0.19047619047619047,0.3870967741935484,
xgb,global,3class,11,36,0.5,0.5,0.48701298701298695,0.6428571428571429,0.5454545454545454,0.2727272727272727,
xgb,global,3class,12,36,0.3333333333333333,0.3333333333333333,0.17777777777777778,0.5333333333333333,0.0,0.0,
xgb,global,3class,13,36,0.5277777777777778,0.5277777777777778,0.49086452762923355,0.8181818181818182,0.125,0.5294117647058824,
xgb,global,3class,15,36,0.4444444444444444,0.4444444444444445,0.36091954022988504,0.6,0.4827586206896552,0.0,
xgb,global,3class,16,36,0.5833333333333334,0.5833333333333334,0.5852842809364548,0.782608695652174,0.43478260869565216,0.5384615384615384,
xgb,global,3class,18,36,0.4444444444444444,0.4444444444444444,0.33751044277360065,0.631578947368421,0.38095238095238093,0.0,
