iter,train_logloss,val_logloss,config_id,resample_tag,norm_id,feature_set,model_id
120,0.1841532835221993,0.4283794792621241,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
121,0.18311366351853883,0.4285824058730483,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
122,0.18156127756503146,0.42775458087648816,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
123,0.1811242194639312,0.42759028522953113,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
124,0.18015788017291334,0.4272741684603884,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
125,0.17985480894438094,0.4272406618757587,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
126,0.1789332934652725,0.42762308149313966,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
127,0.178281492869771,0.4276294413505605,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
128,0.17655142019505973,0.42851098821632116,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
129,0.1757572445637347,0.42925764849146447,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
130,0.17536980484304368,0.4291276188860475,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
131,0.1748129529906891,0.4291184510608825,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
132,0.1732201133832603,0.4292426524388483,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
133,0.17216861724167642,0.42933285860258535,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
134,0.17080154130771646,0.4294662193720729,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
135,0.17004852981728105,0.4291345965002957,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
136,0.16877563888438016,0.4297832570209047,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
137,0.16727786512286996,0.43018324029765576,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
138,0.16527651453158518,0.4308474546026749,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
139,0.16484003945781917,0.43077093130193167,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
140,0.1636121984040251,0.4307261060597806,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
141,0.16299351275224003,0.4310595476115985,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
142,0.16240888583107263,0.43151483520826633,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
143,0.1618531272889539,0.4315768517273547,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
144,0.1603258072482523,0.4320000634912436,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
145,0.159662424393792,0.43215492165850095,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
146,0.1590272240767566,0.4317947585206841,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
147,0.15832788919254526,0.4322764618781447,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
148,0.15707704357990268,0.43293722418214503,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
149,0.15552802650834657,0.4329870764373077,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
150,0.15475484903625447,0.433858507973599,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
151,0.15378428839284644,0.4337711343089015,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
152,0.15243138938663947,0.43279157706463056,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
153,0.1512796487854819,0.433405631608804,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
154,0.15065918892349411,0.43357785276559835,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
155,0.1494296618485205,0.4345909651483116,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
156,0.1487952538401262,0.43541796960009915,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
157,0.1475811909482282,0.4365154904371593,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
158,0.14653762124575356,0.4368157202606434,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
159,0.14524005498149656,0.43688707861777704,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
160,0.14436652359024554,0.4372351488596501,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
161,0.14334308073495017,0.43751802208027113,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
162,0.14194532901475831,0.43766803208294464,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
163,0.1413641005568648,0.43760524546464524,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
164,0.14065968990594094,0.43819839779516095,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
165,0.1396928364068691,0.43919818378829706,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
166,0.13899987828327837,0.43888229685318136,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
167,0.13854551194680523,0.4389720448913674,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
168,0.1374479251734529,0.43893164704139864,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
169,0.13659372543196793,0.44033022210566775,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
170,0.13603234813715204,0.44102321244577913,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
171,0.13466348014398083,0.4414351514402639,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
172,0.13379453106943914,0.44194010302264897,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
173,0.13317710764281487,0.44250453070896956,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
174,0.13239151842010063,0.4432910868889411,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
175,0.13218362525909658,0.44303879769480164,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
176,0.1316124497313238,0.44364917631416273,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
177,0.1308310919974143,0.4448271804511832,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
178,0.1303909281934397,0.44513536422487554,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
179,0.12977078533408026,0.4452121628424653,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
180,0.12912482112404122,0.4452587114415278,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
181,0.12854002464324776,0.4458136029500532,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
182,0.12778682282141177,0.4453903001499216,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
183,0.12690244040249715,0.4458618313419046,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
184,0.12647313723778528,0.446551133866133,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
185,0.12540507168569956,0.4466007719968696,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
186,0.12411727392180005,0.44659351506938777,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
187,0.12319172608773704,0.44682984791762903,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
188,0.12199065881512483,0.44795421850479517,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
189,0.12074265948587935,0.44761666352159984,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
190,0.12020298438544226,0.4477837270560148,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
191,0.1193097743618543,0.448136190257544,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
192,0.11877240395155447,0.4487264236651956,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
193,0.11786270806604371,0.4484719281064355,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
194,0.117002102692544,0.44871256900929707,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
195,0.11625308791993547,0.44930656986953516,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
196,0.11564544849449498,0.4498175575529415,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
197,0.11497489546332887,0.45040741434193615,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
198,0.11470297958621715,0.4505195449213109,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
199,0.1140062933996557,0.45059038521732736,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
200,0.11352492888058349,0.45022687372208264,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
1,0.6085226961025377,0.6125261222046835,truncate1022|subject_z|eda_only|xgb|base,truncate1022,subject_z,eda_only,xgb
2,0.5843616151591626,0.5931710135881547,truncate1022|subject_z|eda_only|xgb|base,truncate1022,subject_z,eda_only,xgb
3,0.5640395774750852,0.5747410649502719,truncate1022|subject_z|eda_only|xgb|base,truncate1022,subject_z,eda_only,xgb
4,0.5450094983708568,0.560664406667153,truncate1022|subject_z|eda_only|xgb|base,truncate1022,subject_z,eda_only,xgb
5,0.5284819336037648,0.5485022103896847,truncate1022|subject_z|eda_only|xgb|base,truncate1022,subject_z,eda_only,xgb
6,0.5137825521128125,0.5385762329937683,truncate1022|subject_z|eda_only|xgb|base,truncate1022,subject_z,eda_only,xgb
7,0.5013125263114124,0.5286636878908785,truncate1022|subject_z|eda_only|xgb|base,truncate1022,subject_z,eda_only,xgb
8,0.48881851049861935,0.5228179613197291,truncate1022|subject_z|eda_only|xgb|base,truncate1022,subject_z,eda_only,xgb
9,0.47830311814701654,0.51640209465943,truncate1022|subject_z|eda_only|xgb|base,truncate1022,subject_z,eda_only,xgb
10,0.4678619793618759,0.5121907073728464,truncate1022|subject_z|eda_only|xgb|base,truncate1022,subject_z,eda_only,xgb
11,0.45870729987093106,0.5066848302398015,truncate1022|subject_z|eda_only|xgb|base,truncate1022,subject_z,eda_only,xgb
12,0.45023716823639587,0.5036099377881598,truncate1022|subject_z|eda_only|xgb|base,truncate1022,subject_z,eda_only,xgb
13,0.4427903511417591,0.5000049520145964,truncate1022|subject_z|eda_only|xgb|base,truncate1022,subject_z,eda_only,xgb
14,0.43494573818030074,0.49631516238743506,truncate1022|subject_z|eda_only|xgb|base,truncate1022,subject_z,eda_only,xgb
