model,fold,held_out_subject,n_test,acc,macro_f1,balanced_acc
xgb,22,37,24,0.6666666666666666,0.6571428571428571,0.6666666666666667
xgb,23,41,24,0.6666666666666666,0.6643356643356644,0.6666666666666667
xgb,24,42,24,0.5416666666666666,0.5343915343915344,0.5416666666666666
xgb,25,43,24,0.4166666666666667,0.4,0.4166666666666667
xgb,26,44,24,0.5,0.49650349650349646,0.5
xgb,27,45,24,0.7083333333333334,0.7037037037037037,0.7083333333333334
xgb,28,46,24,0.375,0.3739130434782609,0.375
xgb,29,47,24,0.3333333333333333,0.32867132867132864,0.33333333333333337
xgb,30,48,24,0.5,0.5,0.5
xgb,31,49,24,0.5,0.5,0.5
xgb,32,52,24,0.5833333333333334,0.5833333333333334,0.5833333333333334
xgb,33,53,24,0.375,0.3739130434782609,0.375
xgb,34,55,24,0.4166666666666667,0.4125874125874126,0.41666666666666663
xgb,35,56,24,0.375,0.3739130434782609,0.375
xgb,36,57,24,0.4166666666666667,0.4,0.4166666666666667
xgb,37,58,24,0.5,0.5,0.5
xgb,38,59,24,0.5416666666666666,0.5408695652173914,0.5416666666666667
xgb,39,60,24,0.5416666666666666,0.5208711433756805,0.5416666666666666
xgb,40,63,24,0.5416666666666666,0.5408695652173914,0.5416666666666667
subwindow_logreg,0,1,24,0.5416666666666666,0.5208711433756805,0.5416666666666666
subwindow_logreg,1,2,24,0.4583333333333333,0.4079696394686907,0.4583333333333333
subwindow_logreg,2,4,24,0.4583333333333333,0.4497354497354497,0.45833333333333337
subwindow_logreg,3,5,24,0.5,0.4375,0.5
subwindow_logreg,4,6,24,0.5,0.49650349650349646,0.5
subwindow_logreg,5,8,24,0.5833333333333334,0.5804195804195804,0.5833333333333333
subwindow_logreg,6,11,24,0.4583333333333333,0.45739130434782604,0.45833333333333337
subwindow_logreg,7,12,24,0.5,0.4857142857142857,0.5
subwindow_logreg,8,13,24,0.5,0.4375,0.5
subwindow_logreg,9,15,24,0.6666666666666666,0.6643356643356644,0.6666666666666667
subwindow_logreg,10,16,24,0.5,0.49650349650349646,0.5
subwindow_logreg,11,18,24,0.5833333333333334,0.5804195804195804,0.5833333333333333
subwindow_logreg,12,21,24,0.4583333333333333,0.45739130434782604,0.45833333333333337
subwindow_logreg,13,22,24,0.6666666666666666,0.6643356643356644,0.6666666666666667
subwindow_logreg,14,24,24,0.4166666666666667,0.4166666666666667,0.4166666666666667
subwindow_logreg,15,25,24,0.4583333333333333,0.45739130434782604,0.45833333333333337
subwindow_logreg,16,27,24,0.5,0.49650349650349646,0.5
subwindow_logreg,17,28,24,0.5416666666666666,0.5408695652173914,0.5416666666666667
subwindow_logreg,18,29,24,0.4583333333333333,0.45739130434782604,0.45833333333333337
subwindow_logreg,19,30,24,0.5,0.5,0.5
subwindow_logreg,20,34,24,0.5833333333333334,0.5833333333333334,0.5833333333333334
subwindow_logreg,21,36,24,0.7083333333333334,0.7078260869565217,0.7083333333333333
subwindow_logreg,22,37,24,0.625,0.6243478260869566,0.625
subwindow_logreg,23,41,24,0.4583333333333333,0.4497354497354497,0.45833333333333337
subwindow_logreg,24,42,24,0.5833333333333334,0.5555555555555556,0.5833333333333334
subwindow_logreg,25,43,24,0.4166666666666667,0.37777777777777777,0.41666666666666663
subwindow_logreg,26,44,24,0.625,0.6190476190476191,0.625
subwindow_logreg,27,45,24,0.4583333333333333,0.4497354497354497,0.45833333333333337
subwindow_logreg,28,46,24,0.625,0.6243478260869566,0.625
subwindow_logreg,29,47,24,0.5,0.49650349650349646,0.5
subwindow_logreg,30,48,24,0.625,0.6190476190476191,0.625
subwindow_logreg,31,49,24,0.5416666666666666,0.5208711433756805,0.5416666666666666
subwindow_logreg,32,52,24,0.7083333333333334,0.7078260869565217,0.7083333333333333
subwindow_logreg,33,53,24,0.7083333333333334,0.7037037037037037,0.7083333333333334
subwindow_logreg,34,55,24,0.5416666666666666,0.5208711433756805,0.5416666666666666
subwindow_logreg,35,56,24,0.5,0.49650349650349646,0.5
subwindow_logreg,36,57,24,0.5,0.5,0.5
subwindow_logreg,37,58,24,0.5833333333333334,0.5804195804195804,0.5833333333333333
subwindow_logreg,38,59,24,0.5416666666666666,0.5408695652173914,0.5416666666666667
subwindow_logreg,39,60,24,0.3333333333333333,0.3142857142857143,0.3333333333333333
subwindow_logreg,40,63,24,0.5833333333333334,0.5833333333333334,0.5833333333333334
