model,feature_set,norm,calibration,anchor,anchor_lambda,scaler,n_features,loso_acc_mean,loso_acc_std,loso_acc_min,val_acc_mean,val_acc_std,val_acc_min,loso_auc,val_auc
xgb,bvp_eda_core,subject_robust,isotonic,center,0.5,std,98,0.8292682926829268,0.1051162187166367,0.5555555555555556,0.8379629629629628,0.08320463312783068,0.7222222222222222,0.8838158503536255,0.8965567129629629
xgb,bvp_eda_core,subject_robust,sigmoid,center,0.5,std,98,0.8279132791327914,0.10397466717209147,0.5555555555555556,0.8425925925925924,0.08735167714867224,0.7222222222222222,0.8696109293410006,0.8860194830246914
xgb,eda_bvp_fwd8,subject_robust,isotonic,center,0.5,std,8,0.8279132791327913,0.10612446747534565,0.5,0.8148148148148148,0.06928995160692483,0.7222222222222222,0.8976303787428117,0.873167438271605
xgb,bvp_eda_core,subject_robust,sigmoid,none,0.5,std,98,0.8265582655826559,0.10988149015020754,0.5555555555555556,0.8472222222222222,0.08524052147926837,0.7222222222222222,0.8924829797078458,0.9017168209876543
xgb,bvp_eda_resp_small,subject_z,sigmoid,center,0.5,std,70,0.8265582655826558,0.11325514197272012,0.4444444444444444,0.8148148148148149,0.08281733249999221,0.6666666666666666,0.8737999041575782,0.8746141975308642
logreg,eda_bvp_fwd8,subject_z,sigmoid,none,0.5,std,8,0.8265582655826558,0.11325514197272012,0.5,0.8009259259259259,0.0862404444916535,0.6111111111111112,0.8856831251239341,0.857494212962963
xgb,bvp_eda_resp_small,subject_z,sigmoid,none,0.5,std,70,0.8252032520325204,0.11149052807980601,0.5,0.8240740740740741,0.08435586647355832,0.6666666666666666,0.8949575318923921,0.8701051311728395
xgb,eda_bvp_fwd8,subject_robust,sigmoid,none,0.5,std,8,0.8252032520325204,0.10379792955124963,0.5,0.8194444444444443,0.06464925946189325,0.7222222222222222,0.8969012327318395,0.8864535108024691
logreg,eda_bvp_fwd8,subject_z,sigmoid,center,0.5,std,8,0.8252032520325204,0.10806179966057931,0.5,0.8009259259259259,0.0862404444916535,0.6111111111111112,0.8743658701830921,0.8564332561728395
xgb,eda_bvp_fwd8,subject_robust,sigmoid,center,0.5,std,8,0.8252032520325204,0.106659450700024,0.5,0.8148148148148148,0.06928995160692483,0.7222222222222222,0.8901406239672152,0.8687307098765432
xgb,eda_bvp_fwd8,subject_z,sigmoid,none,0.5,std,8,0.8252032520325204,0.1030701368874613,0.5555555555555556,0.8055555555555555,0.08636462086193347,0.6666666666666666,0.8782532718619868,0.8583863811728395
xgb,eda_bvp_fwd8,subject_z,sigmoid,center,0.5,std,8,0.8238482384823849,0.11438433382333486,0.4444444444444444,0.8101851851851851,0.09201206904792496,0.6666666666666666,0.8751797045409478,0.8579282407407408
xgb,eda_bvp_fwd8,subject_z,isotonic,center,0.5,std,8,0.8238482384823849,0.10968079319700845,0.5,0.8101851851851851,0.09201206904792496,0.6666666666666666,0.8847040452111838,0.8594955632716049
logreg,eda_bvp_fwd8,subject_robust,sigmoid,none,0.5,std,8,0.8211382113821137,0.10872242344670736,0.5,0.7916666666666666,0.07897556532051841,0.6111111111111112,0.8798003833696874,0.8597849151234568
logreg,eda_bvp_fwd8,subject_robust,sigmoid,center,0.5,std,8,0.8197831978319782,0.10395700693125545,0.5,0.8009259259259259,0.07677372199896756,0.6111111111111112,0.8783978617225195,0.8595679012345679
xgb,bvp_eda_resp_small,subject_robust,isotonic,center,0.5,std,70,0.8170731707317075,0.12037524289708838,0.4444444444444444,0.8425925925925927,0.05928818738363747,0.7222222222222222,0.8825083449005222,0.8953028549382716
xgb,bvp_eda_resp_small,subject_robust,sigmoid,none,0.5,std,70,0.8170731707317073,0.12407071156920971,0.4444444444444444,0.8379629629629629,0.06975240358018223,0.7222222222222222,0.8921008493621522,0.9033323688271605
xgb,bvp_eda_resp_small,subject_robust,sigmoid,center,0.5,std,70,0.8143631436314364,0.1206038181574885,0.4444444444444444,0.8425925925925926,0.06740842490074553,0.7222222222222222,0.8637137286007006,0.8777488425925924
