strategy,model,subject,loso_macro_f1,val_macro_f1
subject_robust,xgb,58,0.5,
subject_robust,xgb,59,0.5833333333333334,
subject_robust,xgb,60,0.5,
subject_robust,xgb,63,0.3333333333333333,
subject_robust,xgb,7,,0.5833333333333334
subject_robust,xgb,9,,0.5
subject_robust,xgb,10,,0.5833333333333334
subject_robust,xgb,14,,0.5833333333333334
subject_robust,xgb,19,,0.4166666666666667
subject_robust,xgb,35,,0.5
subject_robust,xgb,38,,0.5
subject_robust,xgb,39,,0.5
subject_robust,xgb,40,,0.4166666666666667
subject_robust,xgb,61,,0.5
subject_robust,xgb,62,,0.5833333333333334
subject_robust,xgb,65,,0.5833333333333334
nopain_center,logreg,1,0.5,
nopain_center,logreg,2,0.5,
nopain_center,logreg,4,0.5,
nopain_center,logreg,5,0.6666666666666666,
nopain_center,logreg,6,0.4166666666666667,
nopain_center,logreg,8,0.5833333333333334,
nopain_center,logreg,11,0.4166666666666667,
nopain_center,logreg,12,0.5833333333333334,
nopain_center,logreg,13,0.5,
nopain_center,logreg,15,0.3333333333333333,
nopain_center,logreg,16,0.6666666666666666,
nopain_center,logreg,18,0.6666666666666666,
nopain_center,logreg,21,0.6666666666666666,
nopain_center,logreg,22,0.6666666666666666,
nopain_center,logreg,24,0.75,
nopain_center,logreg,25,0.5,
nopain_center,logreg,27,0.5833333333333334,
nopain_center,logreg,28,0.75,
nopain_center,logreg,29,0.3333333333333333,
nopain_center,logreg,30,0.5833333333333334,
nopain_center,logreg,34,0.5,
nopain_center,logreg,36,0.5833333333333334,
nopain_center,logreg,37,0.5,
nopain_center,logreg,41,0.5833333333333334,
nopain_center,logreg,42,0.6666666666666666,
nopain_center,logreg,43,0.4166666666666667,
nopain_center,logreg,44,0.5833333333333334,
nopain_center,logreg,45,0.5833333333333334,
nopain_center,logreg,46,0.5833333333333334,
nopain_center,logreg,47,0.5833333333333334,
nopain_center,logreg,48,0.5,
nopain_center,logreg,49,0.5833333333333334,
nopain_center,logreg,52,0.5,
nopain_center,logreg,53,0.75,
nopain_center,logreg,55,0.5,
nopain_center,logreg,56,0.25,
nopain_center,logreg,57,0.5833333333333334,
nopain_center,logreg,58,0.5,
nopain_center,logreg,59,0.75,
nopain_center,logreg,60,0.5,
nopain_center,logreg,63,0.5833333333333334,
nopain_center,logreg,7,,0.6666666666666666
nopain_center,logreg,9,,0.5833333333333334
nopain_center,logreg,10,,0.5833333333333334
nopain_center,logreg,14,,0.5833333333333334
nopain_center,logreg,19,,0.3333333333333333
nopain_center,logreg,35,,0.5
nopain_center,logreg,38,,0.5833333333333334
nopain_center,logreg,39,,0.5833333333333334
nopain_center,logreg,40,,0.3333333333333333
nopain_center,logreg,61,,0.6666666666666666
nopain_center,logreg,62,,0.5
nopain_center,logreg,65,,0.4166666666666667
nopain_center,xgb,1,0.4166666666666667,
nopain_center,xgb,2,0.5833333333333334,
nopain_center,xgb,4,0.5833333333333334,
nopain_center,xgb,5,0.5833333333333334,
nopain_center,xgb,6,0.4166666666666667,
nopain_center,xgb,8,0.5833333333333334,
nopain_center,xgb,11,0.5,
nopain_center,xgb,12,0.5,
nopain_center,xgb,13,0.4166666666666667,
nopain_center,xgb,15,0.4166666666666667,
nopain_center,xgb,16,0.6666666666666666,
nopain_center,xgb,18,0.6666666666666666,
nopain_center,xgb,21,0.5,
nopain_center,xgb,22,0.6666666666666666,
nopain_center,xgb,24,0.5833333333333334,
nopain_center,xgb,25,0.5,
nopain_center,xgb,27,0.6666666666666666,
nopain_center,xgb,28,0.5833333333333334,
nopain_center,xgb,29,0.3333333333333333,
nopain_center,xgb,30,0.4166666666666667,
nopain_center,xgb,34,0.5833333333333334,
nopain_center,xgb,36,0.5833333333333334,
nopain_center,xgb,37,0.6666666666666666,
nopain_center,xgb,41,0.6666666666666666,
nopain_center,xgb,42,0.6666666666666666,
nopain_center,xgb,43,0.4166666666666667,
nopain_center,xgb,44,0.4166666666666667,
nopain_center,xgb,45,0.3333333333333333,
nopain_center,xgb,46,0.5,
nopain_center,xgb,47,0.4166666666666667,
nopain_center,xgb,48,0.5833333333333334,
nopain_center,xgb,49,0.5833333333333334,
nopain_center,xgb,52,0.5,
nopain_center,xgb,53,0.75,
nopain_center,xgb,55,0.5,
nopain_center,xgb,56,0.5,
nopain_center,xgb,57,0.5,
nopain_center,xgb,58,0.6666666666666666,
nopain_center,xgb,59,0.5,
nopain_center,xgb,60,0.3333333333333333,
nopain_center,xgb,63,0.5833333333333334,
nopain_center,xgb,7,,0.6666666666666666
nopain_center,xgb,9,,0.4166666666666667
nopain_center,xgb,10,,0.5
nopain_center,xgb,14,,0.5
nopain_center,xgb,19,,0.25
nopain_center,xgb,35,,0.5833333333333334
nopain_center,xgb,38,,0.5
nopain_center,xgb,39,,0.5833333333333334
nopain_center,xgb,40,,0.5
nopain_center,xgb,61,,0.75
nopain_center,xgb,62,,0.5833333333333334
nopain_center,xgb,65,,0.5833333333333334
nopain_z,logreg,1,0.5833333333333334,
nopain_z,logreg,2,0.4166666666666667,
nopain_z,logreg,4,0.6666666666666666,
nopain_z,logreg,5,0.6666666666666666,
nopain_z,logreg,6,0.5,
nopain_z,logreg,8,0.5833333333333334,
nopain_z,logreg,11,0.5,
nopain_z,logreg,12,0.5833333333333334,
nopain_z,logreg,13,0.4166666666666667,
nopain_z,logreg,15,0.5833333333333334,
nopain_z,logreg,16,0.5833333333333334,
nopain_z,logreg,18,0.5,
nopain_z,logreg,21,0.5833333333333334,
nopain_z,logreg,22,0.5833333333333334,
nopain_z,logreg,24,0.5,
nopain_z,logreg,25,0.4166666666666667,
nopain_z,logreg,27,0.3333333333333333,
nopain_z,logreg,28,0.5833333333333334,
nopain_z,logreg,29,0.4166666666666667,
nopain_z,logreg,30,0.4166666666666667,
nopain_z,logreg,34,0.6666666666666666,
nopain_z,logreg,36,0.5833333333333334,
nopain_z,logreg,37,0.5833333333333334,
nopain_z,logreg,41,0.4166666666666667,
nopain_z,logreg,42,0.5833333333333334,
nopain_z,logreg,43,0.6666666666666666,
nopain_z,logreg,44,0.5833333333333334,
nopain_z,logreg,45,0.5,
nopain_z,logreg,46,0.4166666666666667,
nopain_z,logreg,47,0.5833333333333334,
nopain_z,logreg,48,0.5,
nopain_z,logreg,49,0.5,
nopain_z,logreg,52,0.5833333333333334,
nopain_z,logreg,53,0.5,
nopain_z,logreg,55,0.4166666666666667,
nopain_z,logreg,56,0.5,
nopain_z,logreg,57,0.5833333333333334,
nopain_z,logreg,58,0.4166666666666667,
nopain_z,logreg,59,0.75,
nopain_z,logreg,60,0.6666666666666666,
nopain_z,logreg,63,0.4166666666666667,
nopain_z,logreg,7,,0.5
nopain_z,logreg,9,,0.5833333333333334
nopain_z,logreg,10,,0.5833333333333334
nopain_z,logreg,14,,0.4166666666666667
nopain_z,logreg,19,,0.5833333333333334
nopain_z,logreg,35,,0.3333333333333333
nopain_z,logreg,38,,0.4166666666666667
nopain_z,logreg,39,,0.5
nopain_z,logreg,40,,0.5833333333333334
nopain_z,logreg,61,,0.5
nopain_z,logreg,62,,0.5833333333333334
nopain_z,logreg,65,,0.4166666666666667
nopain_z,xgb,1,0.5,
nopain_z,xgb,2,0.4166666666666667,
nopain_z,xgb,4,0.5833333333333334,
nopain_z,xgb,5,0.5833333333333334,
nopain_z,xgb,6,0.5,
nopain_z,xgb,8,0.5833333333333334,
nopain_z,xgb,11,0.5833333333333334,
nopain_z,xgb,12,0.6666666666666666,
nopain_z,xgb,13,0.5,
nopain_z,xgb,15,0.5833333333333334,
nopain_z,xgb,16,0.4166666666666667,
nopain_z,xgb,18,0.5833333333333334,
nopain_z,xgb,21,0.5,
nopain_z,xgb,22,0.5,
nopain_z,xgb,24,0.4166666666666667,
nopain_z,xgb,25,0.5833333333333334,
nopain_z,xgb,27,0.5833333333333334,
nopain_z,xgb,28,0.5833333333333334,
nopain_z,xgb,29,0.5,
nopain_z,xgb,30,0.6666666666666666,
nopain_z,xgb,34,0.5833333333333334,
nopain_z,xgb,36,0.5,
nopain_z,xgb,37,0.5833333333333334,
nopain_z,xgb,41,0.4166666666666667,
nopain_z,xgb,42,0.5833333333333334,
nopain_z,xgb,43,0.4166666666666667,
nopain_z,xgb,44,0.5,
nopain_z,xgb,45,0.6666666666666666,
nopain_z,xgb,46,0.5,
nopain_z,xgb,47,0.5,
nopain_z,xgb,48,0.5833333333333334,
nopain_z,xgb,49,0.5,
nopain_z,xgb,52,0.5833333333333334,
nopain_z,xgb,53,0.6666666666666666,
nopain_z,xgb,55,0.5,
nopain_z,xgb,56,0.3333333333333333,
nopain_z,xgb,57,0.5,
nopain_z,xgb,58,0.75,
nopain_z,xgb,59,0.6666666666666666,
nopain_z,xgb,60,0.4166666666666667,
nopain_z,xgb,63,0.3333333333333333,
nopain_z,xgb,7,,0.6666666666666666
nopain_z,xgb,9,,0.4166666666666667
nopain_z,xgb,10,,0.5833333333333334
nopain_z,xgb,14,,0.4166666666666667
nopain_z,xgb,19,,0.5
nopain_z,xgb,35,,0.4166666666666667
nopain_z,xgb,38,,0.3333333333333333
nopain_z,xgb,39,,0.5833333333333334
nopain_z,xgb,40,,0.6666666666666666
nopain_z,xgb,61,,0.6666666666666666
nopain_z,xgb,62,,0.6666666666666666
nopain_z,xgb,65,,0.5
nopain_robust,logreg,1,0.5,
nopain_robust,logreg,2,0.5,
nopain_robust,logreg,4,0.4166666666666667,
nopain_robust,logreg,5,0.75,
nopain_robust,logreg,6,0.5,
nopain_robust,logreg,8,0.5,
nopain_robust,logreg,11,0.5833333333333334,
nopain_robust,logreg,12,0.6666666666666666,
nopain_robust,logreg,13,0.4166666666666667,
nopain_robust,logreg,15,0.4166666666666667,
nopain_robust,logreg,16,0.5833333333333334,
nopain_robust,logreg,18,0.5,
nopain_robust,logreg,21,0.5833333333333334,
nopain_robust,logreg,22,0.5,
nopain_robust,logreg,24,0.6666666666666666,
