mode,split,subject,reactivity,macro_f1
boost_hard,loso,13,5.53353214263916,0.5
boost_hard,loso,15,6.016080856323242,0.4166666666666667
boost_hard,loso,16,6.853532791137695,0.6666666666666666
boost_hard,loso,18,6.875477313995361,0.4166666666666667
boost_hard,loso,21,6.059638023376465,0.5
boost_hard,loso,22,5.0353007316589355,0.5
boost_hard,loso,24,4.067410469055176,0.5833333333333334
boost_hard,loso,25,3.466282367706299,0.5
boost_hard,loso,27,4.950122833251953,0.5
boost_hard,loso,28,3.468705415725708,0.75
boost_hard,loso,29,9.991820335388184,0.4166666666666667
boost_hard,loso,30,5.666553497314453,0.6666666666666666
boost_hard,loso,34,7.020632266998291,0.5
boost_hard,loso,36,4.1647515296936035,0.5833333333333334
boost_hard,loso,37,3.55100154876709,0.5833333333333334
boost_hard,loso,41,6.754418849945068,0.5833333333333334
boost_hard,loso,42,8.899688720703125,0.5833333333333334
boost_hard,loso,43,5.403414726257324,0.4166666666666667
boost_hard,loso,44,4.567148208618164,0.75
boost_hard,loso,45,4.966814994812012,0.5
boost_hard,loso,46,3.136904239654541,0.5
boost_hard,loso,47,8.70332145690918,0.5833333333333334
boost_hard,loso,48,5.387817859649658,0.5
boost_hard,loso,49,5.741820335388184,0.5
boost_hard,loso,52,4.7716965675354,0.5833333333333334
boost_hard,loso,53,3.805508613586426,0.5833333333333334
boost_hard,loso,55,4.2115397453308105,0.25
boost_hard,loso,56,3.5431220531463623,0.25
boost_hard,loso,57,5.192074298858643,0.5
boost_hard,loso,58,6.940463542938232,0.5
boost_hard,loso,59,6.267582893371582,0.5833333333333334
boost_hard,loso,60,4.816225051879883,0.5833333333333334
boost_hard,loso,63,4.817370414733887,0.25
boost_hard,val,7,13.883086204528809,0.5833333333333334
boost_hard,val,9,16.824832916259766,0.5833333333333334
boost_hard,val,10,6.082812309265137,0.5
boost_hard,val,14,3.967384099960327,0.6666666666666666
boost_hard,val,19,11.72419261932373,0.5
boost_hard,val,35,4.105310440063477,0.5
boost_hard,val,38,3.8232855796813965,0.4166666666666667
boost_hard,val,39,9.087468147277832,0.6666666666666666
boost_hard,val,40,4.617848873138428,0.5833333333333334
boost_hard,val,61,4.148331165313721,0.6666666666666666
boost_hard,val,62,5.286617755889893,0.5833333333333334
boost_hard,val,65,4.017488479614258,0.4166666666666667
equal_subject,loso,1,5.483057498931885,0.5
equal_subject,loso,2,15.268511772155762,0.5
equal_subject,loso,4,4.745827674865723,0.5
equal_subject,loso,5,11.29763412475586,0.5833333333333334
equal_subject,loso,6,10.289689064025879,0.5
equal_subject,loso,8,8.2930908203125,0.5
equal_subject,loso,11,3.661076545715332,0.5
equal_subject,loso,12,6.768889427185059,0.5
equal_subject,loso,13,5.53353214263916,0.6666666666666666
equal_subject,loso,15,6.016080856323242,0.5
equal_subject,loso,16,6.853532791137695,0.5833333333333334
equal_subject,loso,18,6.875477313995361,0.3333333333333333
equal_subject,loso,21,6.059638023376465,0.5
equal_subject,loso,22,5.0353007316589355,0.5
equal_subject,loso,24,4.067410469055176,0.5833333333333334
equal_subject,loso,25,3.466282367706299,0.4166666666666667
equal_subject,loso,27,4.950122833251953,0.4166666666666667
equal_subject,loso,28,3.468705415725708,0.6666666666666666
equal_subject,loso,29,9.991820335388184,0.5
equal_subject,loso,30,5.666553497314453,0.6666666666666666
equal_subject,loso,34,7.020632266998291,0.5833333333333334
equal_subject,loso,36,4.1647515296936035,0.6666666666666666
equal_subject,loso,37,3.55100154876709,0.6666666666666666
equal_subject,loso,41,6.754418849945068,0.5
equal_subject,loso,42,8.899688720703125,0.5833333333333334
equal_subject,loso,43,5.403414726257324,0.5
equal_subject,loso,44,4.567148208618164,0.6666666666666666
equal_subject,loso,45,4.966814994812012,0.5833333333333334
equal_subject,loso,46,3.136904239654541,0.4166666666666667
equal_subject,loso,47,8.70332145690918,0.5
equal_subject,loso,48,5.387817859649658,0.5833333333333334
equal_subject,loso,49,5.741820335388184,0.4166666666666667
